Model,Threshold,M-Pre,M-Rec,M-F1
strategy-5,0.6,73.1,71.0,71.5
strategy-5,0.65,73.2,71.0,71.5
strategy-5,0.7,73.3,71.0,71.6
strategy-5,0.75,73.5,71.2,71.8
strategy-5,0.8,74.0,71.7,72.2
strategy-5,0.85,74.2,71.9,72.4
strategy-5,0.9,75.1,72.8,73.4
strategy-5,0.95,77.0,74.6,75.3
strategy-6,0.6,71.7,70.2,70.6
strategy-6,0.65,72.3,70.7,71.1
strategy-6,0.7,72.8,71.2,71.7
strategy-6,0.75,73.3,71.5,72.0
strategy-6,0.8,75.2,73.3,73.8
strategy-6,0.85,79.2,77.7,78.2
strategy-6,0.9,83.5,82.6,83.0
strategy-6,0.95,90.0,89.6,89.8
