Model,Threshold,M-Pre,M-Rec,M-F1
strategy-9,0.6,77.5,56.4,50.5
strategy-9,0.65,76.2,62.4,60.5
strategy-9,0.7,78.3,67.8,67.8
strategy-9,0.75,80.9,75.3,76.3
strategy-9,0.8,82.0,80.1,80.8
strategy-9,0.85,81.8,81.4,81.6
strategy-9,0.9,81.6,81.3,81.4
strategy-9,0.95,81.3,81.2,81.3
strategy-10,0.6,75.7,60.5,57.8
strategy-10,0.65,76.1,62.5,60.8
strategy-10,0.7,78.8,66.9,66.7
strategy-10,0.75,79.9,71.2,71.9
strategy-10,0.8,80.8,74.9,75.9
strategy-10,0.85,81.3,78.4,79.2
strategy-10,0.9,80.3,79.3,79.7
strategy-10,0.95,81.3,81.2,81.3
