Model,Threshold,M-Pre,M-Rec,M-F1
strategy-7,0.6,71.9,64.0,63.5
strategy-7,0.65,71.1,64.5,64.3
strategy-7,0.7,71.5,65.2,65.1
strategy-7,0.75,73.0,67.7,68.0
strategy-7,0.8,73.7,68.5,69.0
strategy-7,0.85,74.1,70.5,71.1
strategy-7,0.9,74.0,71.6,72.2
strategy-7,0.95,73.9,73.5,73.7
strategy-8,0.6,73.2,59.8,56.9
strategy-8,0.65,74.1,61.9,60.1
strategy-8,0.7,75.6,64.9,64.2
strategy-8,0.75,76.1,66.6,66.5
strategy-8,0.8,77.1,69.1,69.6
strategy-8,0.85,75.7,69.8,70.4
strategy-8,0.9,79.0,74.5,75.3
strategy-8,0.95,74.1,73.2,73.5
