Model,Threshold,M-Pre,M-Rec,M-F1
strategy-5,0.6,71.7,70.2,70.6
strategy-5,0.65,71.7,70.2,70.6
strategy-5,0.7,73.5,71.5,72.0
strategy-5,0.75,84.1,82.3,82.9
strategy-5,0.8,84.1,82.3,82.9
strategy-5,0.85,84.1,82.3,82.9
strategy-5,0.9,88.3,86.9,87.5
strategy-5,0.95,90.0,89.6,89.8
strategy-6,0.6,73.5,70.8,71.4
strategy-6,0.65,74.5,71.3,71.9
strategy-6,0.7,75.0,71.0,71.6
strategy-6,0.75,76.9,72.1,72.8
strategy-6,0.8,78.1,73.0,73.8
strategy-6,0.85,79.8,74.5,75.5
strategy-6,0.9,85.0,82.1,83.0
strategy-6,0.95,90.0,89.6,89.8
