Model,Threshold,M-Pre,M-Rec,M-F1
strategy-1,0.6,71.7,70.2,70.6
strategy-1,0.65,71.9,70.4,70.8
strategy-1,0.7,72.0,70.5,70.9
strategy-1,0.75,72.9,71.4,71.8
strategy-1,0.8,74.7,72.7,73.3
strategy-1,0.85,78.1,75.0,75.8
strategy-1,0.9,85.0,81.9,82.9
strategy-1,0.95,90.0,89.6,89.8
strategy-2,0.6,72.5,70.6,71.1
strategy-2,0.65,72.6,70.6,71.1
strategy-2,0.7,73.7,71.5,72.1
strategy-2,0.75,74.5,72.2,72.8
strategy-2,0.8,75.4,73.0,73.6
strategy-2,0.85,77.7,74.6,75.4
strategy-2,0.9,81.5,78.1,79.0
strategy-2,0.95,88.2,87.0,87.5
strategy-3,0.6,72.5,70.6,71.0
strategy-3,0.65,73.1,70.8,71.4
strategy-3,0.7,73.2,70.7,71.3
strategy-3,0.75,73.2,70.7,71.2
strategy-3,0.8,74.3,71.7,72.3
strategy-3,0.85,75.6,72.4,73.1
strategy-3,0.9,78.7,75.3,76.1
strategy-3,0.95,85.6,83.7,84.4
strategy-4,0.6,73.3,71.2,71.8
strategy-4,0.65,73.4,71.1,71.6
strategy-4,0.7,74.3,71.5,72.1
strategy-4,0.75,75.3,72.1,72.7
strategy-4,0.8,75.2,71.7,72.4
strategy-4,0.85,77.5,72.6,73.4
strategy-4,0.9,80.6,74.8,75.8
strategy-4,0.95,83.7,78.3,79.4
