Model,Threshold,M-Pre,M-Rec,M-F1
strategy-7,0.6,78.1,63.3,61.7
strategy-7,0.65,78.5,65.2,64.4
strategy-7,0.7,79.5,67.4,67.2
strategy-7,0.75,78.6,67.8,67.9
strategy-7,0.8,78.2,69.4,69.8
strategy-7,0.85,77.0,71.2,71.9
strategy-7,0.9,74.1,72.5,73.0
strategy-7,0.95,67.0,67.1,64.5
strategy-8,0.6,76.3,55.9,49.6
strategy-8,0.65,75.4,57.4,52.5
strategy-8,0.7,74.9,58.7,54.9
strategy-8,0.75,77.0,62.2,60.2
strategy-8,0.8,78.4,66.2,65.8
strategy-8,0.85,79.5,74.2,75.1
strategy-8,0.9,74.7,75.0,74.8
strategy-8,0.95,66.9,66.7,63.8
